자치구기준일,중구,용산구,동대문구,강북구,은평구,서대문구,마포구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구
2021.09.19.00,1455,2530,3072,2346,4002,2483,3434,1837,4081,3872,5053,4071,6523,5664
2021.09.18.00,1432,2516,3030,2329,3978,2465,3399,1826,4038,3855,5016,4045,6487,5596
2021.09.17.00,1408,2506,3002,2313,3954,2449,3382,1816,4003,3835,4980,4024,6454,5524
2021.09.16.00,1392,2500,2968,2296,3925,2423,3350,1790,3969,3817,4946,3995,6389,5460
2021.09.15.00,1372,2493,2944,2283,3895,2394,3304,1773,3924,3791,4917,3971,6344,5393
2021.09.14.00,1359,2480,2911,2265,3857,2373,3262,1756,3865,3762,4881,3940,6289,5312
2021.09.13.00,1344,2470,2893,2252,3818,2365,3246,1741,3837,3744,4857,3916,6257,5268
2021.09.12.00,1334,2459,2867,2244,3794,2352,3221,1720,3807,3721,4827,3899,6233,5228
2021.09.11.00,1323,2441,2846,2229,3757,2338,3210,1710,3774,3698,4784,3878,6199,5175
2021.09.10.00,1311,2429,2818,2208,3720,2328,3187,1686,3720,3674,4744,3860,6158,5121
2021.09.09.00,1306,2411,2797,2186,3670,2314,3157,1663,3678,3648,4711,3841,6123,5073
2021.09.08.00,1290,2398,2777,2175,3646,2289,3131,1649,3633,3627,4666,3817,6085,5021
2021.09.07.00,1278,2382,2757,2161,3596,2268,3112,1630,3583,3607,4622,3793,6044,4987
2021.09.06.00,1270,2374,2745,2148,3572,2257,3085,1609,3548,3587,4604,3778,6010,4952
2021.09.05.00,1260,2371,2733,2144,3544,2250,3076,1598,3525,3567,4564,3761,5976,4931
2021.09.04.00,1244,2362,2715,2138,3512,2235,3064,1586,3504,3551,4520,3744,5930,4904
2021.09.03.00,1232,2350,2697,2129,3471,2221,3048,1568,3468,3525,4488,3717,5882,4869
2021.09.02.00,1223,2340,2672,2121,3436,2211,3031,1555,3435,3490,4461,3688,5843,4832
2021.09.01.00,1213,2333,2650,2113,3414,2201,3014,1535,3402,3467,4430,3668,5806,4789
2021.08.31.00,1197,2321,2623,2101,3381,2179,3000,1516,3370,3444,4395,3635,5733,4741
2021.08.30.00,1191,2308,2611,2089,3362,2167,2988,1502,3354,3424,4371,3605,5703,4713
2021.08.29.00,1187,2299,2590,2078,3339,2156,2971,1490,3331,3402,4342,3597,5667,4687
2021.08.28.00,1182,2290,2564,2070,3306,2138,2960,1475,3295,3381,4308,3576,5628,4662
2021.08.27.00,1175,2280,2544,2058,3271,2118,2939,1447,3248,3360,4275,3553,5578,4638
2021.08.26.00,1166,2264,2526,2051,3241,2106,2917,1436,3210,3333,4236,3536,5521,4602
2021.08.25.00,1153,2256,2511,2042,3203,2085,2891,1427,3164,3311,4189,3510,5472,4570
2021.08.24.00,1152,2244,2499,2029,3160,2066,2860,1414,3117,3283,4139,3477,5406,4534
2021.08.23.00,1149,2236,2489,2020,3143,2054,2836,1405,3092,3263,4116,3457,5358,4509
2021.08.22.00,1140,2226,2477,2014,3122,2046,2816,1394,3074,3243,4097,3434,5322,4488
2021.08.21.00,1135,2210,2460,1996,3090,2023,2786,1379,3048,3227,4068,3413,5289,4461
2021.08.20.00,1135,2195,2449,1990,3061,1995,2756,1374,3023,3204,4046,3388,5238,4434
2021.08.19.00,1129,2187,2422,1978,3024,1971,2730,1366,3001,3189,4015,3366,5183,4400
2021.08.18.00,1110,2171,2409,1958,2988,1949,2699,1358,2982,3164,3990,3346,5131,4370
2021.08.17.00,1093,2154,2400,1953,2958,1937,2668,1340,2955,3144,3968,3319,5083,4339
2021.08.16.00,1085,2145,2387,1944,2945,1927,2641,1337,2935,3129,3941,3305,5052,4323
2021.08.15.00,1078,2134,2378,1937,2930,1904,2618,1324,2919,3105,3924,3291,5021,4298
